[2026-02-07 01:11:47] Starting parallel batch run
[2026-02-07 01:11:47] Instances to process: 197
[2026-02-07 01:11:47] Master log: /shared/share_malatown/OR_Agent/examples/benchmark/real_trajectory/lead_time_0/batch_log_20260207_011147.txt
[2026-02-07 04:39:02] [39/197] SUCCESS: 464297007
[2026-02-07 04:44:40] [40/197] SUCCESS: 464908002
[2026-02-07 04:52:58] [41/197] SUCCESS: 465655010
[2026-02-07 04:54:37] [42/197] SUCCESS: 465655019
[2026-02-07 05:02:24] [43/197] SUCCESS: 470789001
[2026-02-07 05:08:04] [44/197] SUCCESS: 473954008
[2026-02-07 05:10:24] [45/197] SUCCESS: 487722001
[2026-02-07 05:18:09] [46/197] SUCCESS: 506098007
[2026-02-07 05:24:04] [47/197] SUCCESS: 507883009
[2026-02-07 05:25:55] [48/197] SUCCESS: 507883014
[2026-02-07 05:32:35] [49/197] SUCCESS: 507909001
[2026-02-07 05:40:39] [50/197] SUCCESS: 507909003
[2026-02-07 05:42:29] [51/197] SUCCESS: 516859008
[2026-02-07 05:50:38] [52/197] SUCCESS: 516903005
[2026-02-07 05:54:20] [53/197] SUCCESS: 536139006
[2026-02-07 05:59:29] [54/197] SUCCESS: 536139010
[2026-02-07 06:04:39] [55/197] SUCCESS: 538699001
[2026-02-07 06:10:24] [56/197] SUCCESS: 538699007
[2026-02-07 06:14:34] [57/197] SUCCESS: 547780001
[2026-02-07 06:20:08] [58/197] SUCCESS: 554450001
[2026-02-07 06:26:58] [59/197] SUCCESS: 554450004
[2026-02-07 06:30:07] [60/197] SUCCESS: 554450019
[2026-02-07 06:35:47] [61/197] SUCCESS: 554450027
[2026-02-07 06:43:18] [62/197] SUCCESS: 554450036
[2026-02-07 06:44:56] [63/197] SUCCESS: 554477005
[2026-02-07 06:51:08] [64/197] SUCCESS: 554479001
[2026-02-07 06:59:25] [65/197] SUCCESS: 554598038
[2026-02-07 07:01:08] [66/197] SUCCESS: 554598001
[2026-02-07 07:04:46] [67/197] SUCCESS: 554598047
[2026-02-07 07:17:24] [68/197] SUCCESS: 554598057
[2026-02-07 07:17:39] [69/197] SUCCESS: 554772002
[2026-02-07 07:22:48] [70/197] SUCCESS: 554772003
[2026-02-07 07:34:06] [71/197] SUCCESS: 554792001
[2026-02-07 07:35:32] [72/197] SUCCESS: 561445005
[2026-02-07 07:37:20] [73/197] SUCCESS: 561445006
[2026-02-07 07:50:55] [74/197] SUCCESS: 562245046
[2026-02-07 07:51:09] [75/197] SUCCESS: 562245018
[2026-02-07 07:52:51] [76/197] SUCCESS: 562245050
[2026-02-07 08:06:46] [77/197] SUCCESS: 562245062
[2026-02-07 08:08:29] [78/197] SUCCESS: 565379001
[2026-02-07 08:11:49] [79/197] SUCCESS: 568597006
[2026-02-07 08:22:52] [80/197] SUCCESS: 568601006
[2026-02-07 08:25:56] [81/197] SUCCESS: 568808001
[2026-02-07 08:30:21] [82/197] SUCCESS: 570003002
[2026-02-07 08:41:18] [83/197] SUCCESS: 572797001
[2026-02-07 08:43:16] [84/197] SUCCESS: 572797002
[2026-02-07 08:46:44] [85/197] SUCCESS: 573085004
[2026-02-07 09:01:41] [86/197] SUCCESS: 573085028
[2026-02-07 09:03:04] [87/197] SUCCESS: 573716012
[2026-02-07 09:04:27] [88/197] SUCCESS: 573937001
[2026-02-07 09:18:56] [89/197] SUCCESS: 574109012
[2026-02-07 09:19:53] [90/197] SUCCESS: 575347003
[2026-02-07 09:21:14] [91/197] SUCCESS: 578476001
[2026-02-07 09:36:02] [92/197] SUCCESS: 579541001
[2026-02-07 09:36:04] [93/197] SUCCESS: 579302001
[2026-02-07 09:39:26] [94/197] SUCCESS: 580770001
[2026-02-07 09:51:07] [95/197] SUCCESS: 583534002
[2026-02-07 09:53:39] [96/197] SUCCESS: 589748001
[2026-02-07 09:54:54] [97/197] SUCCESS: 591334019
[2026-02-07 10:05:56] [98/197] SUCCESS: 599580017
[2026-02-07 10:11:06] [99/197] SUCCESS: 603145001
[2026-02-07 10:12:25] [100/197] SUCCESS: 605094001
[2026-02-07 10:24:19] [101/197] SUCCESS: 608458001
[2026-02-07 10:26:52] [102/197] SUCCESS: 608776002
[2026-02-07 10:27:51] [103/197] SUCCESS: 610776001
[2026-02-07 10:41:34] [104/197] SUCCESS: 610776002
[2026-02-07 10:44:11] [105/197] SUCCESS: 610776028
[2026-02-07 10:45:15] [106/197] SUCCESS: 610776022
[2026-02-07 10:58:50] [107/197] SUCCESS: 610776033
[2026-02-07 11:01:08] [108/197] SUCCESS: 611415001
[2026-02-07 11:02:53] [109/197] SUCCESS: 615141002
[2026-02-07 11:16:56] [110/197] SUCCESS: 618800001
[2026-02-07 11:19:04] [111/197] SUCCESS: 618800007
[2026-02-07 11:21:51] [112/197] SUCCESS: 621381001
[2026-02-07 11:34:33] [113/197] SUCCESS: 621381012
[2026-02-07 11:36:47] [114/197] SUCCESS: 624486001
[2026-02-07 11:40:33] [115/197] SUCCESS: 624486002
[2026-02-07 11:50:56] [116/197] SUCCESS: 629420007
[2026-02-07 11:55:48] [117/197] SUCCESS: 636323001
[2026-02-07 11:57:55] [118/197] SUCCESS: 636323002
[2026-02-07 12:08:32] [119/197] SUCCESS: 636323003
[2026-02-07 12:13:37] [120/197] SUCCESS: 639448001
[2026-02-07 12:16:31] [121/197] SUCCESS: 640021005
[2026-02-07 12:24:32] [122/197] SUCCESS: 655784001
[2026-02-07 12:32:11] [123/197] SUCCESS: 658030001
[2026-02-07 12:33:10] [124/197] SUCCESS: 658030006
[2026-02-07 12:44:52] [125/197] SUCCESS: 658030011
[2026-02-07 12:49:00] [126/197] SUCCESS: 660726001
[2026-02-07 12:50:53] [127/197] SUCCESS: 658030020
[2026-02-07 13:01:05] [128/197] SUCCESS: 664074001
[2026-02-07 13:04:44] [129/197] SUCCESS: 664319001
[2026-02-07 13:06:43] [130/197] SUCCESS: 664405002
[2026-02-07 13:18:17] [131/197] SUCCESS: 671852003
[2026-02-07 13:21:05] [132/197] SUCCESS: 673396002
[2026-02-07 13:23:15] [133/197] SUCCESS: 675068002
[2026-02-07 13:37:14] [134/197] SUCCESS: 677930023
[2026-02-07 13:38:59] [135/197] SUCCESS: 678342002
[2026-02-07 13:41:07] [136/197] SUCCESS: 678687001
[2026-02-07 13:53:23] [137/197] SUCCESS: 678692001
[2026-02-07 13:55:41] [138/197] SUCCESS: 678691002
[2026-02-07 13:57:20] [139/197] SUCCESS: 678696001
[2026-02-07 14:09:56] [140/197] SUCCESS: 678942001
[2026-02-07 14:10:57] [141/197] SUCCESS: 679853001
[2026-02-07 14:14:55] [142/197] SUCCESS: 679854001
[2026-02-07 14:27:58] [143/197] SUCCESS: 680262006
[2026-02-07 14:28:00] [144/197] SUCCESS: 680262001
[2026-02-07 14:32:27] [145/197] SUCCESS: 682550001
[2026-02-07 14:42:31] [146/197] SUCCESS: 685813002
[2026-02-07 14:44:30] [147/197] SUCCESS: 685813001
[2026-02-07 14:48:37] [148/197] SUCCESS: 685813005
[2026-02-07 14:59:24] [149/197] SUCCESS: 685814001
[2026-02-07 14:59:28] [150/197] SUCCESS: 685814003
[2026-02-07 15:04:35] [151/197] SUCCESS: 685816001
[2026-02-07 15:16:06] [152/197] SUCCESS: 687704001
[2026-02-07 15:16:45] [153/197] SUCCESS: 685816002
[2026-02-07 15:20:34] [154/197] SUCCESS: 687704002
[2026-02-07 15:31:41] [155/197] SUCCESS: 688105002
[2026-02-07 15:33:30] [156/197] SUCCESS: 688432001
[2026-02-07 15:35:07] [157/197] SUCCESS: 688537004
[2026-02-07 15:47:31] [158/197] SUCCESS: 688558002
[2026-02-07 15:49:15] [159/197] SUCCESS: 692226003
[2026-02-07 15:54:02] [160/197] SUCCESS: 689389004
[2026-02-07 16:01:29] [161/197] SUCCESS: 692226004
[2026-02-07 16:04:25] [162/197] SUCCESS: 695584001
[2026-02-07 16:10:20] [163/197] SUCCESS: 695632001
[2026-02-07 16:18:12] [164/197] SUCCESS: 695632002
[2026-02-07 16:20:35] [165/197] SUCCESS: 697054003
[2026-02-07 16:26:24] [166/197] SUCCESS: 697054014
[2026-02-07 16:34:39] [167/197] SUCCESS: 697564010
[2026-02-07 16:38:04] [168/197] SUCCESS: 706016001
[2026-02-07 16:43:01] [169/197] SUCCESS: 706016002
[2026-02-07 16:50:44] [170/197] SUCCESS: 706016003
[2026-02-07 16:52:57] [171/197] SUCCESS: 706016004
[2026-02-07 17:00:13] [172/197] SUCCESS: 706016006
[2026-02-07 17:04:57] [173/197] SUCCESS: 706016015
[2026-02-07 17:09:00] [174/197] SUCCESS: 708021001
[2026-02-07 17:17:00] [175/197] SUCCESS: 711053003
[2026-02-07 17:19:23] [176/197] SUCCESS: 711053004
[2026-02-07 17:25:23] [177/197] SUCCESS: 711440001
[2026-02-07 17:33:32] [178/197] SUCCESS: 712216001
[2026-02-07 17:36:00] [179/197] SUCCESS: 712587002
[2026-02-07 17:40:55] [180/197] SUCCESS: 715624001
[2026-02-07 17:51:34] [181/197] SUCCESS: 717464001
[2026-02-07 17:53:20] [182/197] SUCCESS: 717490001
[2026-02-07 17:59:47] [183/197] SUCCESS: 717490002
[2026-02-07 18:09:36] [184/197] SUCCESS: 717490003
[2026-02-07 18:10:39] [185/197] SUCCESS: 717490015
[2026-02-07 18:20:50] [186/197] SUCCESS: 719655001
[2026-02-07 18:26:34] [187/197] SUCCESS: 720504001
[2026-02-07 18:28:21] [188/197] SUCCESS: 719957006
[2026-02-07 18:36:50] [189/197] SUCCESS: 723469001
[2026-02-07 18:40:30] [190/197] SUCCESS: 728162001
[2026-02-07 18:42:04] [191/197] SUCCESS: 728162002
[2026-02-07 18:52:01] [192/197] SUCCESS: 729928001
[2026-02-07 18:57:16] [193/197] SUCCESS: 732842002
[2026-02-07 18:58:05] [194/197] SUCCESS: 732842001
[2026-02-07 19:07:42] [195/197] SUCCESS: 739953002
[2026-02-07 19:14:38] [196/197] SUCCESS: 743098001
[2026-02-07 19:16:41] [197/197] SUCCESS: 743098002
[2026-02-07 19:16:41] 
================================================================================
[2026-02-07 19:16:41] BATCH RUN SUMMARY
[2026-02-07 19:16:41] ================================================================================
[2026-02-07 19:16:41] Total instances: 200
[2026-02-07 19:16:41] Completed successfully: 197
[2026-02-07 19:16:41] Completed with warnings: 0
[2026-02-07 19:16:41] Skipped (already done): 3
[2026-02-07 19:16:41] Failed: 0
[2026-02-07 19:16:41] 
Master log saved to: /shared/share_malatown/OR_Agent/examples/benchmark/real_trajectory/lead_time_0/batch_log_20260207_011147.txt
[2026-02-07 19:16:41] Summary saved to: /shared/share_malatown/OR_Agent/examples/benchmark/real_trajectory/lead_time_0/batch_summary_20260207_011147.json
[2026-02-07 19:16:41] ================================================================================
