[2026-02-07 01:11:47] Starting parallel batch run
[2026-02-07 01:11:47] Instances to process: 240
[2026-02-07 01:11:47] Master log: /shared/share_malatown/OR_Agent/examples/benchmark/synthetic_trajectory/lead_time_stochastic/batch_log_20260207_011147.txt
[2026-02-07 20:20:37] [92/240] SUCCESS: r1_low
[2026-02-07 20:31:24] [93/240] SUCCESS: r1_med
[2026-02-07 20:36:06] [94/240] SUCCESS: r2_high
[2026-02-07 20:52:19] [95/240] SUCCESS: r2_low
[2026-02-07 21:05:22] [96/240] SUCCESS: r2_med
[2026-02-07 21:17:49] [97/240] SUCCESS: r1_high
[2026-02-07 21:31:18] [98/240] SUCCESS: r1_low
[2026-02-07 21:33:37] [99/240] SUCCESS: r1_med
[2026-02-07 21:50:58] [100/240] SUCCESS: r2_high
[2026-02-07 22:06:18] [101/240] SUCCESS: r2_low
[2026-02-07 22:06:22] [102/240] SUCCESS: r2_med
