[2026-02-07 21:57:09] Starting parallel batch run
[2026-02-07 21:57:09] Instances to process: 189
[2026-02-07 21:57:09] Master log: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_4/batch_log_20260207_215709.txt
[2026-02-07 22:36:12] [101/189] SUCCESS: 615141002
[2026-02-07 22:38:04] [102/189] SUCCESS: 618800001
[2026-02-07 22:38:44] [103/189] SUCCESS: 629420007
[2026-02-07 22:38:53] [104/189] SUCCESS: 618800007
[2026-02-07 22:39:04] [105/189] SUCCESS: 621381001
[2026-02-07 22:39:21] [106/189] SUCCESS: 621381012
[2026-02-07 22:39:26] [107/189] SUCCESS: 624486002
[2026-02-07 22:39:31] [108/189] SUCCESS: 636323001
[2026-02-07 22:39:34] [109/189] SUCCESS: 636323002
[2026-02-07 22:39:49] [110/189] SUCCESS: 624486001
[2026-02-07 22:39:56] [111/189] SUCCESS: 639448001
[2026-02-07 22:39:57] [112/189] SUCCESS: 636323003
[2026-02-07 22:40:31] [113/189] SUCCESS: 640021005
[2026-02-07 22:40:44] [114/189] SUCCESS: 655784001
[2026-02-07 22:41:18] [115/189] SUCCESS: 658030001
[2026-02-07 22:41:25] [116/189] SUCCESS: 658030006
[2026-02-07 22:41:37] [117/189] SUCCESS: 660726001
[2026-02-07 22:41:49] [118/189] SUCCESS: 658030020
[2026-02-07 22:42:15] [119/189] SUCCESS: 664074001
[2026-02-07 22:42:21] [120/189] SUCCESS: 658030011
[2026-02-07 22:42:52] [121/189] SUCCESS: 664319001
[2026-02-07 22:45:07] [122/189] SUCCESS: 664405002
[2026-02-07 22:45:31] [123/189] SUCCESS: 673396002
[2026-02-07 22:45:31] [124/189] SUCCESS: 675068002
[2026-02-07 22:45:59] [125/189] SUCCESS: 677930023
[2026-02-07 22:46:08] [126/189] SUCCESS: 678696001
[2026-02-07 22:46:19] [127/189] SUCCESS: 671852003
[2026-02-07 22:46:19] [128/189] SUCCESS: 678692001
[2026-02-07 22:46:21] [129/189] SUCCESS: 678342002
[2026-02-07 22:46:27] [130/189] SUCCESS: 678687001
[2026-02-07 22:46:51] [131/189] SUCCESS: 678691002
[2026-02-07 22:47:00] [132/189] SUCCESS: 679853001
[2026-02-07 22:47:04] [133/189] SUCCESS: 679854001
[2026-02-07 22:47:21] [134/189] SUCCESS: 678942001
[2026-02-07 22:47:21] [135/189] SUCCESS: 680262001
[2026-02-07 22:47:45] [136/189] SUCCESS: 680262006
[2026-02-07 22:48:49] [137/189] SUCCESS: 685813001
[2026-02-07 22:49:29] [138/189] SUCCESS: 685813005
[2026-02-07 22:49:37] [139/189] SUCCESS: 685813002
[2026-02-07 22:49:57] [140/189] SUCCESS: 682550001
[2026-02-07 22:50:02] [141/189] SUCCESS: 685814001
[2026-02-07 22:52:13] [142/189] SUCCESS: 685814003
[2026-02-07 22:52:19] [143/189] SUCCESS: 685816001
[2026-02-07 22:52:40] [144/189] SUCCESS: 687704002
[2026-02-07 22:52:43] [145/189] SUCCESS: 687704001
[2026-02-07 22:52:46] [146/189] SUCCESS: 685816002
[2026-02-07 22:52:57] [147/189] SUCCESS: 688105002
[2026-02-07 22:53:23] [148/189] SUCCESS: 688558002
[2026-02-07 22:53:23] [149/189] SUCCESS: 688537004
[2026-02-07 22:53:44] [150/189] SUCCESS: 695584001
[2026-02-07 22:53:47] [151/189] SUCCESS: 692226004
[2026-02-07 22:53:55] [152/189] SUCCESS: 689389004
[2026-02-07 22:53:57] [153/189] SUCCESS: 692226003
[2026-02-07 22:53:57] [154/189] SUCCESS: 688432001
[2026-02-07 22:54:39] [155/189] SUCCESS: 695632002
[2026-02-07 22:54:45] [156/189] SUCCESS: 695632001
[2026-02-07 22:55:40] [157/189] SUCCESS: 697564010
[2026-02-07 22:56:14] [158/189] SUCCESS: 697054003
[2026-02-07 22:56:55] [159/189] SUCCESS: 706016001
[2026-02-07 22:57:03] [160/189] SUCCESS: 706016002
[2026-02-07 22:57:29] [161/189] SUCCESS: 697054014
[2026-02-07 22:58:32] [162/189] SUCCESS: 706016003
[2026-02-07 22:59:08] [163/189] SUCCESS: 706016004
[2026-02-07 22:59:19] [164/189] SUCCESS: 706016006
[2026-02-07 22:59:25] [165/189] SUCCESS: 711053004
[2026-02-07 22:59:26] [166/189] SUCCESS: 706016015
[2026-02-07 22:59:41] [167/189] SUCCESS: 711053003
[2026-02-07 22:59:45] [168/189] SUCCESS: 712587002
[2026-02-07 22:59:55] [169/189] SUCCESS: 711440001
[2026-02-07 23:00:04] [170/189] SUCCESS: 708021001
[2026-02-07 23:00:26] [171/189] SUCCESS: 717490001
[2026-02-07 23:00:37] [172/189] SUCCESS: 717464001
[2026-02-07 23:00:47] [173/189] SUCCESS: 715624001
[2026-02-07 23:00:48] [174/189] SUCCESS: 712216001
[2026-02-07 23:00:58] [175/189] SUCCESS: 717490002
[2026-02-07 23:01:02] [176/189] SUCCESS: 717490003
[2026-02-07 23:02:22] [177/189] SUCCESS: 717490015
[2026-02-07 23:03:36] [178/189] SUCCESS: 719655001
[2026-02-07 23:03:52] [179/189] SUCCESS: 719957006
[2026-02-07 23:04:08] [180/189] SUCCESS: 723469001
[2026-02-07 23:04:55] [181/189] SUCCESS: 720504001
[2026-02-07 23:05:51] [182/189] SUCCESS: 728162001
[2026-02-07 23:05:55] [183/189] SUCCESS: 728162002
[2026-02-07 23:06:31] [184/189] SUCCESS: 732842001
[2026-02-07 23:06:35] [185/189] SUCCESS: 732842002
[2026-02-07 23:07:07] [186/189] SUCCESS: 743098001
[2026-02-07 23:07:20] [187/189] SUCCESS: 739953002
[2026-02-07 23:07:23] [188/189] SUCCESS: 743098002
[2026-02-07 23:08:09] [189/189] SUCCESS: 729928001
[2026-02-07 23:08:09] 
================================================================================
[2026-02-07 23:08:09] BATCH RUN SUMMARY
[2026-02-07 23:08:09] ================================================================================
[2026-02-07 23:08:09] Total instances: 200
[2026-02-07 23:08:09] Completed successfully: 189
[2026-02-07 23:08:09] Completed with warnings: 0
[2026-02-07 23:08:09] Skipped (already done): 11
[2026-02-07 23:08:09] Failed: 0
[2026-02-07 23:08:09] 
Master log saved to: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_4/batch_log_20260207_215709.txt
[2026-02-07 23:08:09] Summary saved to: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_4/batch_summary_20260207_215709.json
[2026-02-07 23:08:09] ================================================================================
