[2026-02-07 01:11:48] Starting parallel batch run
[2026-02-07 01:11:48] Instances to process: 197
[2026-02-07 01:11:48] Master log: /shared/share_malatown/OR_Agent/examples/benchmark/real_trajectory/lead_time_4/batch_log_20260207_011148.txt
[2026-02-07 04:49:08] [38/197] SUCCESS: 458239001
[2026-02-07 04:55:35] [39/197] SUCCESS: 464297007
[2026-02-07 04:56:42] [40/197] SUCCESS: 464908002
[2026-02-07 05:06:59] [41/197] SUCCESS: 465655010
[2026-02-07 05:13:02] [42/197] SUCCESS: 465655019
[2026-02-07 05:13:59] [43/197] SUCCESS: 470789001
[2026-02-07 05:25:03] [44/197] SUCCESS: 473954008
[2026-02-07 05:29:46] [45/197] SUCCESS: 487722001
[2026-02-07 05:30:33] [46/197] SUCCESS: 506098007
[2026-02-07 05:42:42] [47/197] SUCCESS: 507883009
[2026-02-07 05:46:37] [48/197] SUCCESS: 507883014
[2026-02-07 05:49:41] [49/197] SUCCESS: 507909001
[2026-02-07 06:00:49] [50/197] SUCCESS: 507909003
[2026-02-07 06:04:09] [51/197] SUCCESS: 516859008
[2026-02-07 06:05:34] [52/197] SUCCESS: 516903005
[2026-02-07 06:18:17] [53/197] SUCCESS: 536139006
[2026-02-07 06:20:25] [54/197] SUCCESS: 536139010
[2026-02-07 06:21:56] [55/197] SUCCESS: 538699001
[2026-02-07 06:34:17] [56/197] SUCCESS: 538699007
[2026-02-07 06:37:24] [57/197] SUCCESS: 547780001
[2026-02-07 06:39:36] [58/197] SUCCESS: 554450001
[2026-02-07 06:51:32] [59/197] SUCCESS: 554450004
[2026-02-07 06:53:40] [60/197] SUCCESS: 554450019
[2026-02-07 06:57:17] [61/197] SUCCESS: 554450027
[2026-02-07 07:09:31] [62/197] SUCCESS: 554450036
[2026-02-07 07:09:31] [63/197] SUCCESS: 554477005
[2026-02-07 07:11:51] [64/197] SUCCESS: 554479001
[2026-02-07 07:24:35] [65/197] SUCCESS: 554598038
[2026-02-07 07:26:07] [66/197] SUCCESS: 554598001
[2026-02-07 07:26:31] [67/197] SUCCESS: 554598047
[2026-02-07 07:41:46] [68/197] SUCCESS: 554772003
[2026-02-07 07:42:16] [69/197] SUCCESS: 554772002
[2026-02-07 07:43:21] [70/197] SUCCESS: 554598057
[2026-02-07 07:57:52] [71/197] SUCCESS: 561445006
[2026-02-07 07:58:05] [72/197] SUCCESS: 561445005
[2026-02-07 08:00:20] [73/197] SUCCESS: 554792001
[2026-02-07 08:15:03] [74/197] SUCCESS: 562245018
[2026-02-07 08:15:55] [75/197] SUCCESS: 562245046
[2026-02-07 08:17:50] [76/197] SUCCESS: 562245050
[2026-02-07 08:32:25] [77/197] SUCCESS: 565379001
[2026-02-07 08:35:07] [78/197] SUCCESS: 562245062
[2026-02-07 08:35:10] [79/197] SUCCESS: 568597006
[2026-02-07 08:49:41] [80/197] SUCCESS: 568601006
[2026-02-07 08:53:59] [81/197] SUCCESS: 568808001
[2026-02-07 08:55:20] [82/197] SUCCESS: 570003002
[2026-02-07 09:09:22] [83/197] SUCCESS: 572797001
[2026-02-07 09:12:35] [84/197] SUCCESS: 572797002
[2026-02-07 09:16:07] [85/197] SUCCESS: 573085004
[2026-02-07 09:29:56] [86/197] SUCCESS: 573085028
[2026-02-07 09:34:04] [87/197] SUCCESS: 573716012
[2026-02-07 09:35:19] [88/197] SUCCESS: 573937001
[2026-02-07 09:47:28] [89/197] SUCCESS: 574109012
[2026-02-07 09:51:46] [90/197] SUCCESS: 575347003
[2026-02-07 09:53:27] [91/197] SUCCESS: 578476001
[2026-02-07 10:06:07] [92/197] SUCCESS: 579302001
[2026-02-07 10:09:46] [93/197] SUCCESS: 579541001
[2026-02-07 10:10:17] [94/197] SUCCESS: 580770001
[2026-02-07 10:24:26] [95/197] SUCCESS: 583534002
[2026-02-07 10:27:04] [96/197] SUCCESS: 589748001
[2026-02-07 10:27:15] [97/197] SUCCESS: 591334019
[2026-02-07 10:41:53] [98/197] SUCCESS: 599580017
[2026-02-07 10:44:59] [99/197] SUCCESS: 605094001
[2026-02-07 10:45:45] [100/197] SUCCESS: 603145001
[2026-02-07 11:01:41] [101/197] SUCCESS: 608776002
[2026-02-07 11:02:42] [102/197] SUCCESS: 610776001
[2026-02-07 11:02:56] [103/197] SUCCESS: 608458001
[2026-02-07 11:18:06] [104/197] SUCCESS: 610776002
[2026-02-07 11:20:51] [105/197] SUCCESS: 610776022
[2026-02-07 11:21:01] [106/197] SUCCESS: 610776028
[2026-02-07 11:36:20] [107/197] SUCCESS: 610776033
[2026-02-07 11:37:45] [108/197] SUCCESS: 615141002
[2026-02-07 11:41:14] [109/197] SUCCESS: 611415001
[2026-02-07 11:53:03] [110/197] SUCCESS: 618800001
[2026-02-07 11:56:41] [111/197] SUCCESS: 618800007
[2026-02-07 12:00:41] [112/197] SUCCESS: 621381001
[2026-02-07 12:10:57] [113/197] SUCCESS: 621381012
[2026-02-07 12:13:20] [114/197] SUCCESS: 624486001
[2026-02-07 12:18:50] [115/197] SUCCESS: 624486002
[2026-02-07 12:29:03] [116/197] SUCCESS: 629420007
[2026-02-07 12:35:23] [117/197] SUCCESS: 636323001
[2026-02-07 12:37:29] [118/197] SUCCESS: 636323002
[2026-02-07 12:47:42] [119/197] SUCCESS: 636323003
[2026-02-07 12:52:22] [120/197] SUCCESS: 639448001
[2026-02-07 12:56:10] [121/197] SUCCESS: 640021005
[2026-02-07 13:04:55] [122/197] SUCCESS: 655784001
[2026-02-07 13:08:36] [123/197] SUCCESS: 658030001
[2026-02-07 13:14:34] [124/197] SUCCESS: 658030006
[2026-02-07 13:22:19] [125/197] SUCCESS: 658030011
[2026-02-07 13:25:57] [126/197] SUCCESS: 658030020
[2026-02-07 13:31:59] [127/197] SUCCESS: 660726001
[2026-02-07 13:40:34] [128/197] SUCCESS: 664074001
[2026-02-07 13:43:08] [129/197] SUCCESS: 664319001
[2026-02-07 13:51:20] [130/197] SUCCESS: 664405002
[2026-02-07 13:57:54] [131/197] SUCCESS: 671852003
[2026-02-07 14:01:09] [132/197] SUCCESS: 673396002
[2026-02-07 14:08:49] [133/197] SUCCESS: 675068002
[2026-02-07 14:13:43] [134/197] SUCCESS: 677930023
[2026-02-07 14:18:11] [135/197] SUCCESS: 678342002
[2026-02-07 14:23:49] [136/197] SUCCESS: 678687001
[2026-02-07 14:32:48] [137/197] SUCCESS: 678691002
[2026-02-07 14:33:44] [138/197] SUCCESS: 678692001
[2026-02-07 14:40:28] [139/197] SUCCESS: 678696001
[2026-02-07 14:50:32] [140/197] SUCCESS: 678942001
[2026-02-07 14:51:36] [141/197] SUCCESS: 679853001
[2026-02-07 14:58:35] [142/197] SUCCESS: 679854001
[2026-02-07 15:07:12] [143/197] SUCCESS: 680262001
[2026-02-07 15:08:22] [144/197] SUCCESS: 680262006
[2026-02-07 15:16:04] [145/197] SUCCESS: 682550001
[2026-02-07 15:24:28] [146/197] SUCCESS: 685813002
[2026-02-07 15:26:52] [147/197] SUCCESS: 685813001
[2026-02-07 15:30:33] [148/197] SUCCESS: 685813005
[2026-02-07 15:40:29] [149/197] SUCCESS: 685814001
[2026-02-07 15:42:11] [150/197] SUCCESS: 685814003
[2026-02-07 15:47:56] [151/197] SUCCESS: 685816001
[2026-02-07 15:57:45] [152/197] SUCCESS: 685816002
[2026-02-07 16:00:14] [153/197] SUCCESS: 687704001
[2026-02-07 16:04:53] [154/197] SUCCESS: 687704002
[2026-02-07 16:15:12] [155/197] SUCCESS: 688105002
[2026-02-07 16:17:07] [156/197] SUCCESS: 688432001
[2026-02-07 16:20:04] [157/197] SUCCESS: 688537004
[2026-02-07 16:30:50] [158/197] SUCCESS: 688558002
[2026-02-07 16:33:09] [159/197] SUCCESS: 689389004
[2026-02-07 16:34:13] [160/197] SUCCESS: 692226003
[2026-02-07 16:43:28] [161/197] SUCCESS: 692226004
[2026-02-07 16:49:32] [162/197] SUCCESS: 695584001
[2026-02-07 16:50:11] [163/197] SUCCESS: 695632001
[2026-02-07 17:00:41] [164/197] SUCCESS: 695632002
[2026-02-07 17:05:09] [165/197] SUCCESS: 697054014
[2026-02-07 17:06:37] [166/197] SUCCESS: 697054003
[2026-02-07 17:18:33] [167/197] SUCCESS: 697564010
[2026-02-07 17:21:06] [168/197] SUCCESS: 706016001
[2026-02-07 17:23:44] [169/197] SUCCESS: 706016002
[2026-02-07 17:35:12] [170/197] SUCCESS: 706016003
[2026-02-07 17:38:30] [171/197] SUCCESS: 706016004
[2026-02-07 17:42:11] [172/197] SUCCESS: 706016006
[2026-02-07 17:50:48] [173/197] SUCCESS: 706016015
[2026-02-07 17:54:07] [174/197] SUCCESS: 708021001
[2026-02-07 17:58:54] [175/197] SUCCESS: 711053003
[2026-02-07 18:11:32] [176/197] SUCCESS: 711053004
[2026-02-07 18:11:44] [177/197] SUCCESS: 711440001
[2026-02-07 18:16:54] [178/197] SUCCESS: 712216001
[2026-02-07 18:28:25] [179/197] SUCCESS: 712587002
[2026-02-07 18:28:54] [180/197] SUCCESS: 715624001
[2026-02-07 18:33:05] [181/197] SUCCESS: 717464001
[2026-02-07 18:43:46] [182/197] SUCCESS: 717490002
[2026-02-07 18:45:40] [183/197] SUCCESS: 717490001
[2026-02-07 18:48:23] [184/197] SUCCESS: 717490003
[2026-02-07 18:59:12] [185/197] SUCCESS: 717490015
[2026-02-07 19:03:02] [186/197] SUCCESS: 719655001
[2026-02-07 19:04:48] [187/197] SUCCESS: 719957006
[2026-02-07 19:15:21] [188/197] SUCCESS: 720504001
[2026-02-07 19:20:32] [189/197] SUCCESS: 723469001
[2026-02-07 19:22:52] [190/197] SUCCESS: 728162001
[2026-02-07 19:31:14] [191/197] SUCCESS: 728162002
[2026-02-07 19:37:13] [192/197] SUCCESS: 729928001
[2026-02-07 19:39:11] [193/197] SUCCESS: 732842001
[2026-02-07 19:48:47] [194/197] SUCCESS: 732842002
[2026-02-07 19:52:31] [195/197] SUCCESS: 739953002
[2026-02-07 19:58:23] [196/197] SUCCESS: 743098001
[2026-02-07 20:09:32] [197/197] SUCCESS: 743098002
[2026-02-07 20:09:32] 
================================================================================
[2026-02-07 20:09:32] BATCH RUN SUMMARY
[2026-02-07 20:09:32] ================================================================================
[2026-02-07 20:09:32] Total instances: 200
[2026-02-07 20:09:32] Completed successfully: 197
[2026-02-07 20:09:32] Completed with warnings: 0
[2026-02-07 20:09:32] Skipped (already done): 3
[2026-02-07 20:09:32] Failed: 0
[2026-02-07 20:09:32] 
Master log saved to: /shared/share_malatown/OR_Agent/examples/benchmark/real_trajectory/lead_time_4/batch_log_20260207_011148.txt
[2026-02-07 20:09:32] Summary saved to: /shared/share_malatown/OR_Agent/examples/benchmark/real_trajectory/lead_time_4/batch_summary_20260207_011148.json
[2026-02-07 20:09:32] ================================================================================
