[2026-02-07 21:57:06] Starting parallel batch run
[2026-02-07 21:57:06] Instances to process: 188
[2026-02-07 21:57:06] Master log: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_0/batch_log_20260207_215706.txt
[2026-02-07 22:47:52] [139/188] SUCCESS: 685813005
[2026-02-07 22:48:23] [140/188] SUCCESS: 685814001
[2026-02-07 22:49:39] [141/188] SUCCESS: 685814003
[2026-02-07 22:49:41] [142/188] SUCCESS: 688537004
[2026-02-07 22:49:41] [143/188] SUCCESS: 688105002
[2026-02-07 22:49:43] [144/188] SUCCESS: 685816001
[2026-02-07 22:49:50] [145/188] SUCCESS: 687704001
[2026-02-07 22:50:05] [146/188] SUCCESS: 688558002
[2026-02-07 22:50:12] [147/188] SUCCESS: 685816002
[2026-02-07 22:50:28] [148/188] SUCCESS: 688432001
[2026-02-07 22:50:34] [149/188] SUCCESS: 687704002
[2026-02-07 22:50:39] [150/188] SUCCESS: 689389004
[2026-02-07 22:50:49] [151/188] SUCCESS: 692226003
[2026-02-07 22:51:13] [152/188] SUCCESS: 695584001
[2026-02-07 22:51:15] [153/188] SUCCESS: 692226004
[2026-02-07 22:51:34] [154/188] SUCCESS: 695632002
[2026-02-07 22:51:46] [155/188] SUCCESS: 695632001
[2026-02-07 22:52:18] [156/188] SUCCESS: 697054003
[2026-02-07 22:52:21] [157/188] SUCCESS: 697564010
[2026-02-07 22:52:43] [158/188] SUCCESS: 697054014
[2026-02-07 22:54:22] [159/188] SUCCESS: 706016001
[2026-02-07 22:55:54] [160/188] SUCCESS: 706016002
[2026-02-07 22:56:04] [161/188] SUCCESS: 706016004
[2026-02-07 22:56:06] [162/188] SUCCESS: 706016015
[2026-02-07 22:56:06] [163/188] SUCCESS: 711053003
[2026-02-07 22:56:10] [164/188] SUCCESS: 706016003
[2026-02-07 22:56:16] [165/188] SUCCESS: 708021001
[2026-02-07 22:56:19] [166/188] SUCCESS: 711440001
[2026-02-07 22:56:32] [167/188] SUCCESS: 706016006
[2026-02-07 22:56:45] [168/188] SUCCESS: 711053004
[2026-02-07 22:56:54] [169/188] SUCCESS: 715624001
[2026-02-07 22:56:55] [170/188] SUCCESS: 712587002
[2026-02-07 22:56:55] [171/188] SUCCESS: 712216001
[2026-02-07 22:57:15] [172/188] SUCCESS: 717464001
[2026-02-07 22:57:30] [173/188] SUCCESS: 717490002
[2026-02-07 22:57:45] [174/188] SUCCESS: 717490001
[2026-02-07 22:58:12] [175/188] SUCCESS: 717490003
[2026-02-07 22:58:36] [176/188] SUCCESS: 719655001
[2026-02-07 22:58:50] [177/188] SUCCESS: 717490015
[2026-02-07 22:59:00] [178/188] SUCCESS: 719957006
[2026-02-07 23:00:53] [179/188] SUCCESS: 720504001
[2026-02-07 23:01:53] [180/188] SUCCESS: 732842001
[2026-02-07 23:02:09] [181/188] SUCCESS: 728162002
[2026-02-07 23:02:34] [182/188] SUCCESS: 728162001
[2026-02-07 23:02:37] [183/188] SUCCESS: 739953002
[2026-02-07 23:02:37] [184/188] SUCCESS: 732842002
[2026-02-07 23:02:46] [185/188] SUCCESS: 723469001
[2026-02-07 23:02:55] [186/188] SUCCESS: 743098001
[2026-02-07 23:03:06] [187/188] SUCCESS: 743098002
[2026-02-07 23:03:47] [188/188] SUCCESS: 729928001
[2026-02-07 23:03:47] 
================================================================================
[2026-02-07 23:03:47] BATCH RUN SUMMARY
[2026-02-07 23:03:47] ================================================================================
[2026-02-07 23:03:47] Total instances: 200
[2026-02-07 23:03:47] Completed successfully: 188
[2026-02-07 23:03:47] Completed with warnings: 0
[2026-02-07 23:03:47] Skipped (already done): 12
[2026-02-07 23:03:47] Failed: 0
[2026-02-07 23:03:47] 
Master log saved to: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_0/batch_log_20260207_215706.txt
[2026-02-07 23:03:47] Summary saved to: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_0/batch_summary_20260207_215706.json
[2026-02-07 23:03:47] ================================================================================
