[2026-02-07 01:11:46] Starting parallel batch run
[2026-02-07 01:11:46] Instances to process: 237
[2026-02-07 01:11:46] Master log: /shared/share_malatown/OR_Agent/examples/benchmark/synthetic_trajectory/lead_time_0/batch_log_20260207_011146.txt
[2026-02-07 14:02:47] [142/237] SUCCESS: r1_high
[2026-02-07 14:14:03] [143/237] SUCCESS: r1_med
[2026-02-07 14:18:14] [144/237] SUCCESS: r1_low
[2026-02-07 14:20:31] [145/237] SUCCESS: r2_high
[2026-02-07 14:29:53] [146/237] SUCCESS: r2_low
[2026-02-07 14:33:42] [147/237] SUCCESS: r2_med
[2026-02-07 14:41:28] [148/237] SUCCESS: r1_high
[2026-02-07 14:48:45] [149/237] SUCCESS: r1_low
[2026-02-07 14:54:41] [150/237] SUCCESS: r1_med
[2026-02-07 14:55:32] [151/237] SUCCESS: r2_high
[2026-02-07 15:08:39] [152/237] SUCCESS: r2_low
[2026-02-07 15:11:57] [153/237] SUCCESS: r2_med
[2026-02-07 15:12:07] [154/237] SUCCESS: r1_high
[2026-02-07 15:23:04] [155/237] SUCCESS: r1_low
[2026-02-07 15:26:30] [156/237] SUCCESS: r1_med
[2026-02-07 15:29:31] [157/237] SUCCESS: r2_high
[2026-02-07 15:39:46] [158/237] SUCCESS: r2_low
[2026-02-07 15:41:09] [159/237] SUCCESS: r2_med
[2026-02-07 15:45:21] [160/237] SUCCESS: r1_high
[2026-02-07 15:56:54] [161/237] SUCCESS: r1_low
[2026-02-07 15:56:55] [162/237] SUCCESS: r1_med
[2026-02-07 16:01:47] [163/237] SUCCESS: r2_high
[2026-02-07 16:13:00] [164/237] SUCCESS: r2_med
[2026-02-07 16:14:41] [165/237] SUCCESS: r2_low
[2026-02-07 16:15:53] [166/237] SUCCESS: r1_high
[2026-02-07 16:28:29] [167/237] SUCCESS: r1_low
[2026-02-07 16:28:40] [168/237] SUCCESS: r1_med
[2026-02-07 16:30:05] [169/237] SUCCESS: r2_high
[2026-02-07 16:43:48] [170/237] SUCCESS: r2_low
[2026-02-07 16:44:43] [171/237] SUCCESS: r1_high
[2026-02-07 16:47:16] [172/237] SUCCESS: r2_med
[2026-02-07 16:58:01] [173/237] SUCCESS: r1_low
[2026-02-07 17:00:10] [174/237] SUCCESS: r1_med
[2026-02-07 17:02:06] [175/237] SUCCESS: r2_high
[2026-02-07 17:12:44] [176/237] SUCCESS: r2_low
[2026-02-07 17:14:27] [177/237] SUCCESS: r2_med
[2026-02-07 17:17:49] [178/237] SUCCESS: r1_high
[2026-02-07 17:27:54] [179/237] SUCCESS: r1_med
[2026-02-07 17:28:06] [180/237] SUCCESS: r1_low
[2026-02-07 17:33:39] [181/237] SUCCESS: r2_high
[2026-02-07 17:47:06] [182/237] SUCCESS: r2_low
[2026-02-07 17:47:44] [183/237] SUCCESS: r1_high
[2026-02-07 17:47:47] [184/237] SUCCESS: r2_med
[2026-02-07 18:03:36] [185/237] SUCCESS: r2_high
[2026-02-07 18:03:58] [186/237] SUCCESS: r1_med
[2026-02-07 18:04:50] [187/237] SUCCESS: r1_low
[2026-02-07 18:20:25] [188/237] SUCCESS: r2_med
[2026-02-07 18:20:27] [189/237] SUCCESS: r1_high
[2026-02-07 18:20:27] [190/237] SUCCESS: r2_low
[2026-02-07 18:32:45] [191/237] SUCCESS: r1_med
[2026-02-07 18:34:01] [192/237] SUCCESS: r1_low
[2026-02-07 18:35:10] [193/237] SUCCESS: r2_high
[2026-02-07 18:47:56] [194/237] SUCCESS: r2_med
[2026-02-07 18:48:12] [195/237] SUCCESS: r1_high
[2026-02-07 18:49:13] [196/237] SUCCESS: r2_low
[2026-02-07 19:02:13] [197/237] SUCCESS: r2_high
[2026-02-07 19:02:26] [198/237] SUCCESS: r1_med
[2026-02-07 19:02:54] [199/237] SUCCESS: r1_low
[2026-02-07 19:17:49] [200/237] SUCCESS: r1_high
[2026-02-07 19:18:49] [201/237] SUCCESS: r2_low
[2026-02-07 19:18:56] [202/237] SUCCESS: r2_med
[2026-02-07 19:32:20] [203/237] SUCCESS: r1_low
[2026-02-07 19:33:37] [204/237] SUCCESS: r2_high
[2026-02-07 19:34:25] [205/237] SUCCESS: r1_med
[2026-02-07 19:46:45] [206/237] SUCCESS: r2_low
[2026-02-07 19:47:30] [207/237] SUCCESS: r2_med
[2026-02-07 19:48:18] [208/237] SUCCESS: r1_high
[2026-02-07 20:00:23] [209/237] SUCCESS: r1_med
[2026-02-07 20:01:29] [210/237] SUCCESS: r2_high
[2026-02-07 20:01:33] [211/237] SUCCESS: r1_low
[2026-02-07 20:14:58] [212/237] SUCCESS: r2_med
[2026-02-07 20:14:59] [213/237] SUCCESS: r1_high
[2026-02-07 20:17:31] [214/237] SUCCESS: r2_low
[2026-02-07 20:28:35] [215/237] SUCCESS: r1_med
[2026-02-07 20:30:48] [216/237] SUCCESS: r1_low
[2026-02-07 20:30:59] [217/237] SUCCESS: r2_high
[2026-02-07 20:44:29] [218/237] SUCCESS: r2_low
[2026-02-07 20:45:06] [219/237] SUCCESS: r2_med
[2026-02-07 20:45:39] [220/237] SUCCESS: r1_high
[2026-02-07 21:01:36] [221/237] SUCCESS: r1_med
[2026-02-07 21:01:49] [222/237] SUCCESS: r1_low
[2026-02-07 21:03:25] [223/237] SUCCESS: r2_high
[2026-02-07 21:17:59] [224/237] SUCCESS: r2_med
[2026-02-07 21:18:20] [225/237] SUCCESS: r2_low
[2026-02-07 21:19:07] [226/237] SUCCESS: r1_high
[2026-02-07 21:32:40] [227/237] SUCCESS: r1_low
[2026-02-07 21:32:50] [228/237] SUCCESS: r1_med
[2026-02-07 21:32:53] [229/237] SUCCESS: r2_high
[2026-02-07 21:46:19] [230/237] SUCCESS: r1_high
[2026-02-07 21:46:22] [231/237] SUCCESS: r2_med
[2026-02-07 21:47:58] [232/237] SUCCESS: r2_low
[2026-02-07 22:01:29] [233/237] SUCCESS: r1_med
[2026-02-07 22:02:17] [234/237] SUCCESS: r1_low
[2026-02-07 22:05:38] [235/237] SUCCESS: r2_high
