[2026-02-02 08:39:00] Starting parallel batch run
[2026-02-02 08:39:00] Instances to process: 200
[2026-02-02 08:39:00] Master log: D:\TextArena\examples\benchmark\real_trajectory\lead_time_stochastic\batch_log_20260202_083900.txt
[2026-02-02 10:28:47] [92/200] SUCCESS: 573937001
[2026-02-02 10:31:41] [93/200] SUCCESS: 575347003
[2026-02-02 10:31:49] [94/200] SUCCESS: 578476001
[2026-02-02 10:32:10] [95/200] SUCCESS: 579302001
[2026-02-02 10:35:25] [96/200] SUCCESS: 579541001
[2026-02-02 10:35:33] [97/200] SUCCESS: 583534002
[2026-02-02 10:35:45] [98/200] SUCCESS: 580770001
[2026-02-02 10:40:41] [99/200] SUCCESS: 599580017
[2026-02-02 10:40:52] [100/200] SUCCESS: 591334019
[2026-02-02 10:41:01] [101/200] SUCCESS: 589748001
[2026-02-02 10:44:00] [102/200] SUCCESS: 603145001
[2026-02-02 10:44:01] [103/200] SUCCESS: 605094001
[2026-02-02 10:44:25] [104/200] SUCCESS: 608458001
[2026-02-02 10:47:20] [105/200] SUCCESS: 610776001
[2026-02-02 10:47:37] [106/200] SUCCESS: 608776002
[2026-02-02 10:47:37] [107/200] SUCCESS: 610776002
[2026-02-02 10:50:46] [108/200] SUCCESS: 610776033
[2026-02-02 10:50:48] [109/200] SUCCESS: 610776022
[2026-02-02 10:51:18] [110/200] SUCCESS: 610776028
[2026-02-02 10:53:57] [111/200] SUCCESS: 615141002
[2026-02-02 10:54:13] [112/200] SUCCESS: 611415001
[2026-02-02 10:54:34] [113/200] SUCCESS: 618800001
[2026-02-02 10:57:03] [114/200] SUCCESS: 618800007
[2026-02-02 10:57:55] [115/200] SUCCESS: 621381012
[2026-02-02 10:58:13] [116/200] SUCCESS: 621381001
[2026-02-02 11:00:31] [117/200] SUCCESS: 624486001
[2026-02-02 11:01:12] [118/200] SUCCESS: 624486002
[2026-02-02 11:01:16] [119/200] SUCCESS: 629420007
[2026-02-02 11:04:12] [120/200] SUCCESS: 636323001
[2026-02-02 11:04:21] [121/200] SUCCESS: 636323002
[2026-02-02 11:04:39] [122/200] SUCCESS: 636323003
[2026-02-02 11:07:32] [123/200] SUCCESS: 639448001
[2026-02-02 11:08:01] [124/200] SUCCESS: 655784001
[2026-02-02 11:10:16] [125/200] SUCCESS: 640021005
[2026-02-02 11:10:56] [126/200] SUCCESS: 658030001
[2026-02-02 11:11:45] [127/200] SUCCESS: 658030006
[2026-02-02 11:13:24] [128/200] SUCCESS: 658030011
[2026-02-02 11:14:57] [129/200] SUCCESS: 660726001
[2026-02-02 11:16:47] [130/200] SUCCESS: 658030020
[2026-02-02 11:16:52] [131/200] SUCCESS: 664074001
[2026-02-02 11:18:18] [132/200] SUCCESS: 664319001
[2026-02-02 11:20:07] [133/200] SUCCESS: 671852003
[2026-02-02 11:20:13] [134/200] SUCCESS: 664405002
[2026-02-02 11:21:33] [135/200] SUCCESS: 673396002
[2026-02-02 11:23:33] [136/200] SUCCESS: 675068002
[2026-02-02 11:23:40] [137/200] SUCCESS: 677930023
[2026-02-02 11:24:55] [138/200] SUCCESS: 678342002
[2026-02-02 11:26:49] [139/200] SUCCESS: 678691002
[2026-02-02 11:26:56] [140/200] SUCCESS: 678687001
[2026-02-02 11:28:15] [141/200] SUCCESS: 678692001
[2026-02-02 11:29:43] [142/200] SUCCESS: 678696001
[2026-02-02 11:30:10] [143/200] SUCCESS: 678942001
[2026-02-02 11:31:41] [144/200] SUCCESS: 679853001
[2026-02-02 11:33:05] [145/200] SUCCESS: 679854001
[2026-02-02 11:33:25] [146/200] SUCCESS: 680262001
[2026-02-02 11:34:55] [147/200] SUCCESS: 680262006
[2026-02-02 11:36:27] [148/200] SUCCESS: 682550001
[2026-02-02 11:36:50] [149/200] SUCCESS: 685813001
[2026-02-02 11:38:19] [150/200] SUCCESS: 685813002
[2026-02-02 11:39:45] [151/200] SUCCESS: 685813005
[2026-02-02 11:40:25] [152/200] SUCCESS: 685814001
[2026-02-02 11:42:07] [153/200] SUCCESS: 685814003
[2026-02-02 11:43:19] [154/200] SUCCESS: 685816001
[2026-02-02 11:43:35] [155/200] SUCCESS: 685816002
[2026-02-02 11:45:26] [156/200] SUCCESS: 687704001
[2026-02-02 11:46:40] [157/200] SUCCESS: 687704002
[2026-02-02 11:46:44] [158/200] SUCCESS: 688105002
[2026-02-02 11:48:56] [159/200] SUCCESS: 688432001
[2026-02-02 11:49:37] [160/200] SUCCESS: 688537004
[2026-02-02 11:49:57] [161/200] SUCCESS: 688558002
[2026-02-02 11:52:00] [162/200] SUCCESS: 689389004
[2026-02-02 11:52:41] [163/200] SUCCESS: 692226003
[2026-02-02 11:53:42] [164/200] SUCCESS: 692226004
[2026-02-02 11:55:20] [165/200] SUCCESS: 695584001
[2026-02-02 11:55:51] [166/200] SUCCESS: 695632001
[2026-02-02 11:56:52] [167/200] SUCCESS: 695632002
[2026-02-02 11:58:51] [168/200] SUCCESS: 697054003
[2026-02-02 11:59:13] [169/200] SUCCESS: 697054014
[2026-02-02 12:00:16] [170/200] SUCCESS: 697564010
[2026-02-02 12:02:35] [171/200] SUCCESS: 706016001
[2026-02-02 12:03:10] [172/200] SUCCESS: 706016002
[2026-02-02 12:04:26] [173/200] SUCCESS: 706016003
[2026-02-02 12:06:37] [174/200] SUCCESS: 706016004
[2026-02-02 12:06:50] [175/200] SUCCESS: 706016006
[2026-02-02 12:07:39] [176/200] SUCCESS: 706016015
[2026-02-02 12:09:58] [177/200] SUCCESS: 708021001
[2026-02-02 12:10:56] [178/200] SUCCESS: 711053003
[2026-02-02 12:11:17] [179/200] SUCCESS: 711053004
[2026-02-02 12:13:04] [180/200] SUCCESS: 711440001
[2026-02-02 12:13:55] [181/200] SUCCESS: 712216001
[2026-02-02 12:14:19] [182/200] SUCCESS: 712587002
[2026-02-02 12:16:07] [183/200] SUCCESS: 715624001
[2026-02-02 12:17:20] [184/200] SUCCESS: 717464001
[2026-02-02 12:17:52] [185/200] SUCCESS: 717490001
[2026-02-02 12:20:08] [186/200] SUCCESS: 717490002
[2026-02-02 12:21:22] [187/200] SUCCESS: 717490003
[2026-02-02 12:21:53] [188/200] SUCCESS: 717490015
[2026-02-02 12:23:25] [189/200] SUCCESS: 719655001
[2026-02-02 12:24:57] [190/200] SUCCESS: 719957006
[2026-02-02 12:25:28] [191/200] SUCCESS: 720504001
[2026-02-02 12:27:11] [192/200] SUCCESS: 723469001
[2026-02-02 12:28:00] [193/200] SUCCESS: 728162001
[2026-02-02 12:28:40] [194/200] SUCCESS: 728162002
[2026-02-02 12:30:17] [195/200] SUCCESS: 729928001
[2026-02-02 12:30:54] [196/200] SUCCESS: 732842001
[2026-02-02 12:32:00] [197/200] SUCCESS: 732842002
[2026-02-02 12:33:27] [198/200] SUCCESS: 739953002
[2026-02-02 12:34:06] [199/200] SUCCESS: 743098001
[2026-02-02 12:35:08] [200/200] SUCCESS: 743098002
[2026-02-02 12:35:08] 
================================================================================
[2026-02-02 12:35:08] BATCH RUN SUMMARY
[2026-02-02 12:35:08] ================================================================================
[2026-02-02 12:35:08] Total instances: 200
[2026-02-02 12:35:08] Completed successfully: 200
[2026-02-02 12:35:08] Completed with warnings: 0
[2026-02-02 12:35:08] Skipped (already done): 0
[2026-02-02 12:35:08] Failed: 0
[2026-02-02 12:35:08] 
Master log saved to: D:\TextArena\examples\benchmark\real_trajectory\lead_time_stochastic\batch_log_20260202_083900.txt
[2026-02-02 12:35:08] Summary saved to: D:\TextArena\examples\benchmark\real_trajectory\lead_time_stochastic\batch_summary_20260202_083900.json
[2026-02-02 12:35:08] ================================================================================
