[2026-02-07 21:57:14] Starting parallel batch run
[2026-02-07 21:57:14] Instances to process: 189
[2026-02-07 21:57:14] Master log: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_stochastic/batch_log_20260207_215714.txt
[2026-02-07 22:18:21] [41/189] SUCCESS: 507909001
[2026-02-07 22:18:28] [42/189] SUCCESS: 507909003
[2026-02-07 22:18:30] [43/189] SUCCESS: 516903005
[2026-02-07 22:18:31] [44/189] SUCCESS: 554598038
[2026-02-07 22:18:37] [45/189] SUCCESS: 538699001
[2026-02-07 22:18:43] [46/189] SUCCESS: 547780001
[2026-02-07 22:18:54] [47/189] SUCCESS: 516859008
[2026-02-07 22:18:59] [48/189] SUCCESS: 554450001
[2026-02-07 22:19:17] [49/189] SUCCESS: 554450019
[2026-02-07 22:19:18] [50/189] SUCCESS: 554477005
[2026-02-07 22:19:19] [51/189] SUCCESS: 536139010
[2026-02-07 22:19:27] [52/189] SUCCESS: 554598057
[2026-02-07 22:19:29] [53/189] SUCCESS: 536139006
[2026-02-07 22:19:42] [54/189] SUCCESS: 554479001
[2026-02-07 22:19:42] [55/189] SUCCESS: 554450036
[2026-02-07 22:19:58] [56/189] SUCCESS: 554450027
[2026-02-07 22:20:12] [57/189] SUCCESS: 538699007
[2026-02-07 22:20:13] [58/189] SUCCESS: 554450004
[2026-02-07 22:20:14] [59/189] SUCCESS: 554598047
[2026-02-07 22:22:08] [60/189] SUCCESS: 554598001
[2026-02-07 22:25:15] [61/189] SUCCESS: 561445005
[2026-02-07 22:25:15] [62/189] SUCCESS: 554772002
[2026-02-07 22:25:29] [63/189] SUCCESS: 565379001
[2026-02-07 22:25:30] [64/189] SUCCESS: 554772003
[2026-02-07 22:25:39] [65/189] SUCCESS: 562245018
[2026-02-07 22:25:47] [66/189] SUCCESS: 561445006
[2026-02-07 22:26:03] [67/189] SUCCESS: 554792001
[2026-02-07 22:26:23] [68/189] SUCCESS: 562245050
[2026-02-07 22:26:29] [69/189] SUCCESS: 562245046
[2026-02-07 22:26:35] [70/189] SUCCESS: 568597006
[2026-02-07 22:26:47] [71/189] SUCCESS: 562245062
[2026-02-07 22:26:58] [72/189] SUCCESS: 568808001
[2026-02-07 22:26:59] [73/189] SUCCESS: 570003002
[2026-02-07 22:27:02] [74/189] SUCCESS: 572797001
[2026-02-07 22:27:03] [75/189] SUCCESS: 572797002
[2026-02-07 22:27:08] [76/189] SUCCESS: 573716012
[2026-02-07 22:27:09] [77/189] SUCCESS: 568601006
[2026-02-07 22:27:19] [78/189] SUCCESS: 573085004
[2026-02-07 22:29:02] [79/189] SUCCESS: 573937001
[2026-02-07 22:29:06] [80/189] SUCCESS: 573085028
[2026-02-07 22:32:19] [81/189] SUCCESS: 578476001
[2026-02-07 22:32:30] [82/189] SUCCESS: 574109012
[2026-02-07 22:32:31] [83/189] SUCCESS: 580770001
[2026-02-07 22:32:51] [84/189] SUCCESS: 575347003
[2026-02-07 22:32:52] [85/189] SUCCESS: 579302001
[2026-02-07 22:33:02] [86/189] SUCCESS: 583534002
[2026-02-07 22:33:07] [87/189] SUCCESS: 579541001
[2026-02-07 22:33:27] [88/189] SUCCESS: 603145001
[2026-02-07 22:33:30] [89/189] SUCCESS: 589748001
[2026-02-07 22:33:51] [90/189] SUCCESS: 610776022
[2026-02-07 22:33:54] [91/189] SUCCESS: 605094001
[2026-02-07 22:33:58] [92/189] SUCCESS: 599580017
[2026-02-07 22:34:01] [93/189] SUCCESS: 591334019
[2026-02-07 22:34:06] [94/189] SUCCESS: 610776028
[2026-02-07 22:34:15] [95/189] SUCCESS: 610776001
[2026-02-07 22:34:30] [96/189] SUCCESS: 608458001
[2026-02-07 22:34:50] [97/189] SUCCESS: 608776002
[2026-02-07 22:34:54] [98/189] SUCCESS: 610776002
[2026-02-07 22:36:24] [99/189] SUCCESS: 610776033
[2026-02-07 22:36:42] [100/189] SUCCESS: 611415001
[2026-02-07 22:39:17] [101/189] SUCCESS: 618800001
[2026-02-07 22:39:23] [102/189] SUCCESS: 615141002
[2026-02-07 22:39:58] [103/189] SUCCESS: 621381012
[2026-02-07 22:40:04] [104/189] SUCCESS: 618800007
[2026-02-07 22:40:12] [105/189] SUCCESS: 624486001
[2026-02-07 22:40:24] [106/189] SUCCESS: 629420007
[2026-02-07 22:40:49] [107/189] SUCCESS: 636323002
[2026-02-07 22:40:51] [108/189] SUCCESS: 640021005
[2026-02-07 22:40:51] [109/189] SUCCESS: 621381001
[2026-02-07 22:40:53] [110/189] SUCCESS: 636323003
[2026-02-07 22:40:54] [111/189] SUCCESS: 624486002
[2026-02-07 22:41:24] [112/189] SUCCESS: 639448001
[2026-02-07 22:41:25] [113/189] SUCCESS: 655784001
[2026-02-07 22:41:26] [114/189] SUCCESS: 636323001
[2026-02-07 22:41:45] [115/189] SUCCESS: 658030006
[2026-02-07 22:42:15] [116/189] SUCCESS: 658030001
[2026-02-07 22:42:29] [117/189] SUCCESS: 658030020
[2026-02-07 22:42:32] [118/189] SUCCESS: 658030011
[2026-02-07 22:43:23] [119/189] SUCCESS: 660726001
[2026-02-07 22:44:45] [120/189] SUCCESS: 664074001
[2026-02-07 22:45:59] [121/189] SUCCESS: 664319001
[2026-02-07 22:46:59] [122/189] SUCCESS: 675068002
[2026-02-07 22:47:02] [123/189] SUCCESS: 671852003
[2026-02-07 22:47:07] [124/189] SUCCESS: 677930023
[2026-02-07 22:47:08] [125/189] SUCCESS: 678692001
[2026-02-07 22:47:09] [126/189] SUCCESS: 673396002
[2026-02-07 22:47:19] [127/189] SUCCESS: 664405002
[2026-02-07 22:47:58] [128/189] SUCCESS: 678696001
[2026-02-07 22:47:58] [129/189] SUCCESS: 678342002
[2026-02-07 22:47:58] [130/189] SUCCESS: 680262001
[2026-02-07 22:48:08] [131/189] SUCCESS: 678691002
[2026-02-07 22:48:10] [132/189] SUCCESS: 678687001
[2026-02-07 22:48:20] [133/189] SUCCESS: 679854001
[2026-02-07 22:48:49] [134/189] SUCCESS: 680262006
[2026-02-07 22:48:50] [135/189] SUCCESS: 679853001
[2026-02-07 22:49:35] [136/189] SUCCESS: 678942001
[2026-02-07 22:49:48] [137/189] SUCCESS: 685813001
[2026-02-07 22:50:28] [138/189] SUCCESS: 682550001
[2026-02-07 22:51:04] [139/189] SUCCESS: 685813002
[2026-02-07 22:52:22] [140/189] SUCCESS: 685813005
[2026-02-07 22:53:56] [141/189] SUCCESS: 687704002
[2026-02-07 22:54:07] [142/189] SUCCESS: 685816001
[2026-02-07 22:54:10] [143/189] SUCCESS: 688105002
[2026-02-07 22:54:11] [144/189] SUCCESS: 685814003
[2026-02-07 22:54:37] [145/189] SUCCESS: 685814001
[2026-02-07 22:54:43] [146/189] SUCCESS: 685816002
[2026-02-07 22:54:44] [147/189] SUCCESS: 688558002
[2026-02-07 22:54:46] [148/189] SUCCESS: 688432001
[2026-02-07 22:55:08] [149/189] SUCCESS: 692226003
[2026-02-07 22:55:09] [150/189] SUCCESS: 692226004
[2026-02-07 22:55:21] [151/189] SUCCESS: 695632001
[2026-02-07 22:55:24] [152/189] SUCCESS: 687704001
[2026-02-07 22:55:30] [153/189] SUCCESS: 689389004
[2026-02-07 22:55:37] [154/189] SUCCESS: 688537004
[2026-02-07 22:55:55] [155/189] SUCCESS: 695584001
[2026-02-07 22:56:09] [156/189] SUCCESS: 695632002
[2026-02-07 22:57:11] [157/189] SUCCESS: 697054003
[2026-02-07 22:57:20] [158/189] SUCCESS: 697564010
[2026-02-07 22:57:24] [159/189] SUCCESS: 697054014
[2026-02-07 23:00:06] [160/189] SUCCESS: 706016001
[2026-02-07 23:00:28] [161/189] SUCCESS: 706016004
[2026-02-07 23:00:54] [162/189] SUCCESS: 706016006
[2026-02-07 23:01:13] [163/189] SUCCESS: 706016002
[2026-02-07 23:01:43] [164/189] SUCCESS: 711053004
[2026-02-07 23:01:44] [165/189] SUCCESS: 706016003
[2026-02-07 23:01:50] [166/189] SUCCESS: 712587002
[2026-02-07 23:02:10] [167/189] SUCCESS: 715624001
[2026-02-07 23:02:11] [168/189] SUCCESS: 708021001
[2026-02-07 23:02:17] [169/189] SUCCESS: 712216001
[2026-02-07 23:02:24] [170/189] SUCCESS: 706016015
[2026-02-07 23:02:24] [171/189] SUCCESS: 711440001
[2026-02-07 23:02:28] [172/189] SUCCESS: 717490002
[2026-02-07 23:02:50] [173/189] SUCCESS: 717464001
[2026-02-07 23:03:05] [174/189] SUCCESS: 711053003
[2026-02-07 23:03:17] [175/189] SUCCESS: 717490001
[2026-02-07 23:03:37] [176/189] SUCCESS: 717490003
[2026-02-07 23:04:44] [177/189] SUCCESS: 719957006
[2026-02-07 23:04:53] [178/189] SUCCESS: 717490015
[2026-02-07 23:05:07] [179/189] SUCCESS: 719655001
[2026-02-07 23:07:38] [180/189] SUCCESS: 723469001
[2026-02-07 23:07:43] [181/189] SUCCESS: 720504001
[2026-02-07 23:07:58] [182/189] SUCCESS: 728162002
[2026-02-07 23:08:44] [183/189] SUCCESS: 728162001
[2026-02-07 23:09:05] [184/189] SUCCESS: 732842001
[2026-02-07 23:09:34] [185/189] SUCCESS: 729928001
[2026-02-07 23:09:44] [186/189] SUCCESS: 732842002
[2026-02-07 23:09:48] [187/189] SUCCESS: 739953002
[2026-02-07 23:09:53] [188/189] SUCCESS: 743098001
[2026-02-07 23:10:04] [189/189] SUCCESS: 743098002
[2026-02-07 23:10:04] 
================================================================================
[2026-02-07 23:10:04] BATCH RUN SUMMARY
[2026-02-07 23:10:04] ================================================================================
[2026-02-07 23:10:04] Total instances: 200
[2026-02-07 23:10:04] Completed successfully: 189
[2026-02-07 23:10:04] Completed with warnings: 0
[2026-02-07 23:10:04] Skipped (already done): 11
[2026-02-07 23:10:04] Failed: 0
[2026-02-07 23:10:04] 
Master log saved to: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_stochastic/batch_log_20260207_215714.txt
[2026-02-07 23:10:04] Summary saved to: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_stochastic/batch_summary_20260207_215714.json
[2026-02-07 23:10:04] ================================================================================
