[2026-02-07 01:11:46] Starting parallel batch run
[2026-02-07 01:11:46] Instances to process: 237
[2026-02-07 01:11:46] Master log: /shared/share_malatown/OR_Agent/examples/benchmark/synthetic_trajectory/lead_time_4/batch_log_20260207_011146.txt
[2026-02-07 15:12:16] [142/237] SUCCESS: r1_high
[2026-02-07 15:27:03] [143/237] SUCCESS: r1_med
[2026-02-07 15:27:54] [144/237] SUCCESS: r2_high
[2026-02-07 15:30:53] [145/237] SUCCESS: r1_low
[2026-02-07 15:44:47] [146/237] SUCCESS: r2_med
[2026-02-07 15:45:29] [147/237] SUCCESS: r2_low
[2026-02-07 15:50:55] [148/237] SUCCESS: r1_high
[2026-02-07 16:04:08] [149/237] SUCCESS: r1_med
[2026-02-07 16:04:44] [150/237] SUCCESS: r1_low
[2026-02-07 16:10:20] [151/237] SUCCESS: r2_high
[2026-02-07 16:22:14] [152/237] SUCCESS: r2_med
[2026-02-07 16:22:20] [153/237] SUCCESS: r2_low
[2026-02-07 16:27:04] [154/237] SUCCESS: r1_high
[2026-02-07 16:39:45] [155/237] SUCCESS: r1_med
[2026-02-07 16:40:47] [156/237] SUCCESS: r1_low
[2026-02-07 16:42:15] [157/237] SUCCESS: r2_high
[2026-02-07 16:55:50] [158/237] SUCCESS: r2_med
[2026-02-07 16:56:41] [159/237] SUCCESS: r2_low
[2026-02-07 16:59:19] [160/237] SUCCESS: r1_high
[2026-02-07 17:12:18] [161/237] SUCCESS: r1_med
[2026-02-07 17:14:07] [162/237] SUCCESS: r1_low
[2026-02-07 17:17:45] [163/237] SUCCESS: r2_high
[2026-02-07 17:31:59] [164/237] SUCCESS: r2_low
[2026-02-07 17:32:12] [165/237] SUCCESS: r1_high
[2026-02-07 17:36:32] [166/237] SUCCESS: r2_med
[2026-02-07 17:47:13] [167/237] SUCCESS: r1_med
[2026-02-07 17:49:05] [168/237] SUCCESS: r1_low
[2026-02-07 17:51:44] [169/237] SUCCESS: r2_high
[2026-02-07 18:05:34] [170/237] SUCCESS: r2_low
[2026-02-07 18:06:26] [171/237] SUCCESS: r2_med
[2026-02-07 18:08:29] [172/237] SUCCESS: r1_high
[2026-02-07 18:22:56] [173/237] SUCCESS: r1_low
[2026-02-07 18:25:49] [174/237] SUCCESS: r2_high
[2026-02-07 18:28:41] [175/237] SUCCESS: r1_med
[2026-02-07 18:39:35] [176/237] SUCCESS: r2_low
[2026-02-07 18:41:37] [177/237] SUCCESS: r2_med
[2026-02-07 18:44:25] [178/237] SUCCESS: r1_high
[2026-02-07 18:57:18] [179/237] SUCCESS: r1_low
[2026-02-07 18:57:26] [180/237] SUCCESS: r1_med
[2026-02-07 19:01:49] [181/237] SUCCESS: r2_high
[2026-02-07 19:14:24] [182/237] SUCCESS: r2_med
[2026-02-07 19:14:52] [183/237] SUCCESS: r2_low
[2026-02-07 19:19:28] [184/237] SUCCESS: r1_high
[2026-02-07 19:32:42] [185/237] SUCCESS: r1_med
[2026-02-07 19:37:05] [186/237] SUCCESS: r2_high
[2026-02-07 19:37:06] [187/237] SUCCESS: r1_low
[2026-02-07 19:50:33] [188/237] SUCCESS: r2_low
[2026-02-07 19:51:36] [189/237] SUCCESS: r1_high
[2026-02-07 19:54:10] [190/237] SUCCESS: r2_med
[2026-02-07 20:06:27] [191/237] SUCCESS: r1_med
[2026-02-07 20:08:33] [192/237] SUCCESS: r1_low
[2026-02-07 20:11:22] [193/237] SUCCESS: r2_high
[2026-02-07 20:23:06] [194/237] SUCCESS: r2_low
[2026-02-07 20:24:44] [195/237] SUCCESS: r2_med
[2026-02-07 20:27:09] [196/237] SUCCESS: r1_high
[2026-02-07 20:41:23] [197/237] SUCCESS: r1_low
[2026-02-07 20:43:47] [198/237] SUCCESS: r1_med
[2026-02-07 20:44:09] [199/237] SUCCESS: r2_high
[2026-02-07 21:01:52] [200/237] SUCCESS: r2_low
[2026-02-07 21:02:25] [201/237] SUCCESS: r1_high
[2026-02-07 21:06:56] [202/237] SUCCESS: r2_med
[2026-02-07 21:19:17] [203/237] SUCCESS: r1_low
[2026-02-07 21:20:04] [204/237] SUCCESS: r1_med
[2026-02-07 21:22:55] [205/237] SUCCESS: r2_high
[2026-02-07 21:35:02] [206/237] SUCCESS: r2_med
[2026-02-07 21:35:08] [207/237] SUCCESS: r2_low
[2026-02-07 21:37:47] [208/237] SUCCESS: r1_high
[2026-02-07 21:52:47] [209/237] SUCCESS: r2_high
[2026-02-07 21:52:49] [210/237] SUCCESS: r1_low
[2026-02-07 21:53:12] [211/237] SUCCESS: r1_med
[2026-02-07 22:08:50] [212/237] SUCCESS: r2_med
[2026-02-07 22:09:17] [213/237] SUCCESS: r2_low
[2026-02-07 22:11:08] [214/237] SUCCESS: r1_high
