[2026-02-01 23:10:01] Starting parallel batch run
[2026-02-01 23:10:01] Instances to process: 200
[2026-02-01 23:10:01] Master log: D:\TextArena\examples\benchmark\real_trajectory\lead_time_4\batch_log_20260201_231001.txt
[2026-02-02 02:31:57] [189/200] INCOMPLETE: 719655001 - Results incomplete after benchmark
[2026-02-02 02:32:00] [190/200] INCOMPLETE: 719957006 - Results incomplete after benchmark
[2026-02-02 02:32:01] [191/200] INCOMPLETE: 720504001 - Results incomplete after benchmark
[2026-02-02 02:32:02] [192/200] INCOMPLETE: 723469001 - Results incomplete after benchmark
[2026-02-02 02:32:06] [193/200] INCOMPLETE: 728162001 - Results incomplete after benchmark
[2026-02-02 02:32:06] [194/200] INCOMPLETE: 728162002 - Results incomplete after benchmark
[2026-02-02 02:32:07] [195/200] INCOMPLETE: 729928001 - Results incomplete after benchmark
[2026-02-02 02:32:10] [196/200] INCOMPLETE: 732842001 - Results incomplete after benchmark
[2026-02-02 02:32:11] [197/200] INCOMPLETE: 732842002 - Results incomplete after benchmark
[2026-02-02 02:32:12] [198/200] INCOMPLETE: 739953002 - Results incomplete after benchmark
[2026-02-02 02:32:15] [199/200] INCOMPLETE: 743098001 - Results incomplete after benchmark
[2026-02-02 02:32:16] [200/200] INCOMPLETE: 743098002 - Results incomplete after benchmark
[2026-02-02 02:32:16] 
================================================================================
[2026-02-02 02:32:16] BATCH RUN SUMMARY
[2026-02-02 02:32:16] ================================================================================
[2026-02-02 02:32:16] Total instances: 200
[2026-02-02 02:32:16] Completed successfully: 183
[2026-02-02 02:32:16] Completed with warnings: 0
[2026-02-02 02:32:16] Skipped (already done): 0
[2026-02-02 02:32:16] Failed: 17
[2026-02-02 02:32:16] 
Failed instances:
[2026-02-02 02:32:16]   - 717490001: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 717490002: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 717464001: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 717490003: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 717490015: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 719655001: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 719957006: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 720504001: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 723469001: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 728162001: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 728162002: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 729928001: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 732842001: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 732842002: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 739953002: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 743098001: Results incomplete after benchmark...
[2026-02-02 02:32:16]   - 743098002: Results incomplete after benchmark...
[2026-02-02 02:32:16] 
Master log saved to: D:\TextArena\examples\benchmark\real_trajectory\lead_time_4\batch_log_20260201_231001.txt
[2026-02-02 02:32:16] Summary saved to: D:\TextArena\examples\benchmark\real_trajectory\lead_time_4\batch_summary_20260201_231001.json
[2026-02-02 02:32:16] ================================================================================
