[2026-02-01 17:56:16] Starting parallel batch run
[2026-02-01 17:56:16] Instances to process: 200
[2026-02-01 17:56:16] Master log: D:\TextArena\examples\benchmark\real_trajectory\lead_time_0\batch_log_20260201_175616.txt
[2026-02-01 19:04:58] [61/200] SUCCESS: 554450001
[2026-02-01 19:05:32] [62/200] SUCCESS: 554450004
[2026-02-01 19:07:42] [63/200] SUCCESS: 554450019
[2026-02-01 19:08:01] [64/200] SUCCESS: 554450027
[2026-02-01 19:08:27] [65/200] SUCCESS: 554450036
[2026-02-01 19:10:35] [66/200] SUCCESS: 554477005
[2026-02-01 19:10:59] [67/200] SUCCESS: 554479001
[2026-02-01 19:11:19] [68/200] SUCCESS: 554598001
[2026-02-01 19:13:29] [69/200] SUCCESS: 554598038
[2026-02-01 19:13:58] [70/200] SUCCESS: 554598047
[2026-02-01 19:14:10] [71/200] SUCCESS: 554598057
[2026-02-01 19:16:27] [72/200] SUCCESS: 554772002
[2026-02-01 19:16:55] [73/200] SUCCESS: 554772003
[2026-02-01 19:17:27] [74/200] SUCCESS: 554792001
[2026-02-01 19:19:46] [75/200] SUCCESS: 561445005
[2026-02-01 19:20:23] [76/200] SUCCESS: 562245018
[2026-02-01 19:22:51] [77/200] SUCCESS: 562245046
[2026-02-01 19:23:38] [78/200] SUCCESS: 562245050
[2026-02-01 19:26:08] [79/200] SUCCESS: 562245062
[2026-02-01 19:26:30] [80/200] SUCCESS: 565379001
[2026-02-01 19:29:27] [81/200] SUCCESS: 568601006
[2026-02-01 19:29:37] [82/200] SUCCESS: 561445006
[2026-02-01 19:31:27] [83/200] SUCCESS: 568597006
[2026-02-01 19:32:27] [84/200] SUCCESS: 568808001
[2026-02-01 19:32:28] [85/200] SUCCESS: 570003002
[2026-02-01 19:34:32] [86/200] SUCCESS: 572797001
[2026-02-01 19:35:31] [87/200] SUCCESS: 572797002
[2026-02-01 19:35:33] [88/200] SUCCESS: 573085004
[2026-02-01 19:37:32] [89/200] SUCCESS: 573085028
[2026-02-01 19:38:36] [90/200] SUCCESS: 573937001
[2026-02-01 19:38:47] [91/200] SUCCESS: 573716012
[2026-02-01 19:40:35] [92/200] SUCCESS: 574109012
[2026-02-01 19:41:24] [93/200] SUCCESS: 575347003
[2026-02-01 19:41:46] [94/200] SUCCESS: 578476001
[2026-02-01 19:43:47] [95/200] SUCCESS: 579302001
[2026-02-01 19:44:29] [96/200] SUCCESS: 579541001
[2026-02-01 19:44:46] [97/200] SUCCESS: 580770001
[2026-02-01 19:46:36] [98/200] SUCCESS: 583534002
[2026-02-01 19:47:45] [99/200] SUCCESS: 589748001
[2026-02-01 19:47:47] [100/200] SUCCESS: 591334019
[2026-02-01 19:49:35] [101/200] SUCCESS: 599580017
[2026-02-01 19:50:38] [102/200] SUCCESS: 605094001
[2026-02-01 19:50:51] [103/200] SUCCESS: 603145001
[2026-02-01 19:53:38] [104/200] SUCCESS: 608458001
[2026-02-01 19:53:43] [105/200] SUCCESS: 608776002
[2026-02-01 19:54:08] [106/200] SUCCESS: 610776001
[2026-02-01 19:56:35] [107/200] SUCCESS: 610776002
[2026-02-01 19:56:51] [108/200] SUCCESS: 610776022
[2026-02-01 19:57:10] [109/200] SUCCESS: 610776028
[2026-02-01 19:59:37] [110/200] SUCCESS: 610776033
[2026-02-01 19:59:48] [111/200] SUCCESS: 611415001
[2026-02-01 20:00:11] [112/200] SUCCESS: 615141002
[2026-02-01 20:02:40] [113/200] SUCCESS: 618800001
[2026-02-01 20:03:00] [114/200] SUCCESS: 618800007
[2026-02-01 20:03:24] [115/200] SUCCESS: 621381001
[2026-02-01 20:05:55] [116/200] SUCCESS: 624486001
[2026-02-01 20:06:04] [117/200] SUCCESS: 621381012
[2026-02-01 20:08:37] [118/200] SUCCESS: 624486002
[2026-02-01 20:08:46] [119/200] SUCCESS: 629420007
[2026-02-01 20:09:03] [120/200] SUCCESS: 636323001
[2026-02-01 20:11:33] [121/200] SUCCESS: 636323002
[2026-02-01 20:11:46] [122/200] SUCCESS: 636323003
[2026-02-01 20:12:12] [123/200] SUCCESS: 639448001
[2026-02-01 20:14:37] [124/200] SUCCESS: 640021005
[2026-02-01 20:15:05] [125/200] SUCCESS: 655784001
[2026-02-01 20:15:09] [126/200] INCOMPLETE: 658030001 - Results incomplete after benchmark
[2026-02-01 20:17:45] [127/200] INCOMPLETE: 658030006 - Results incomplete after benchmark
[2026-02-01 20:18:08] [128/200] INCOMPLETE: 658030020 - Results incomplete after benchmark
[2026-02-01 20:20:33] [129/200] SUCCESS: 660726001
[2026-02-01 20:20:57] [130/200] SUCCESS: 664074001
[2026-02-01 20:23:51] [131/200] SUCCESS: 664319001
[2026-02-01 20:24:11] [132/200] SUCCESS: 664405002
[2026-02-01 20:28:07] [133/200] INCOMPLETE: 658030011 - Results incomplete after benchmark
[2026-02-01 20:28:15] [134/200] SUCCESS: 671852003
[2026-02-01 20:29:01] [135/200] SUCCESS: 673396002
[2026-02-01 20:31:07] [136/200] SUCCESS: 675068002
[2026-02-01 20:31:21] [137/200] SUCCESS: 677930023
[2026-02-01 20:32:07] [138/200] SUCCESS: 678342002
[2026-02-01 20:33:59] [139/200] SUCCESS: 678687001
[2026-02-01 20:34:16] [140/200] SUCCESS: 678691002
[2026-02-01 20:35:34] [141/200] SUCCESS: 678692001
[2026-02-01 20:36:48] [142/200] SUCCESS: 678696001
[2026-02-01 20:37:11] [143/200] SUCCESS: 678942001
[2026-02-01 20:38:39] [144/200] SUCCESS: 679853001
[2026-02-01 20:39:44] [145/200] SUCCESS: 679854001
[2026-02-01 20:40:13] [146/200] SUCCESS: 680262001
[2026-02-01 20:42:58] [147/200] SUCCESS: 682550001
[2026-02-01 20:43:20] [148/200] SUCCESS: 685813001
[2026-02-01 20:44:28] [149/200] SUCCESS: 680262006
[2026-02-01 20:46:01] [150/200] SUCCESS: 685813002
[2026-02-01 20:46:16] [151/200] SUCCESS: 685813005
[2026-02-01 20:47:18] [152/200] SUCCESS: 685814001
[2026-02-01 20:48:53] [153/200] SUCCESS: 685814003
[2026-02-01 20:49:18] [154/200] SUCCESS: 685816001
[2026-02-01 20:50:18] [155/200] SUCCESS: 685816002
[2026-02-01 20:51:52] [156/200] INCOMPLETE: 687704001 - Results incomplete after benchmark
[2026-02-01 20:53:01] [157/200] INCOMPLETE: 687704002 - Results incomplete after benchmark
[2026-02-01 20:53:18] [158/200] SUCCESS: 688105002
[2026-02-01 20:54:54] [159/200] SUCCESS: 688432001
[2026-02-01 20:55:58] [160/200] SUCCESS: 688537004
[2026-02-01 20:56:25] [161/200] SUCCESS: 688558002
[2026-02-01 20:57:56] [162/200] SUCCESS: 689389004
[2026-02-01 20:58:55] [163/200] SUCCESS: 692226003
[2026-02-01 20:59:30] [164/200] SUCCESS: 692226004
[2026-02-01 21:00:57] [165/200] SUCCESS: 695584001
[2026-02-01 21:02:06] [166/200] SUCCESS: 695632001
[2026-02-01 21:02:32] [167/200] SUCCESS: 695632002
[2026-02-01 21:03:51] [168/200] SUCCESS: 697054003
[2026-02-01 21:04:58] [169/200] SUCCESS: 697054014
[2026-02-01 21:06:51] [170/200] SUCCESS: 706016001
[2026-02-01 21:07:49] [171/200] SUCCESS: 706016002
[2026-02-01 21:08:09] [172/200] SUCCESS: 697564010
[2026-02-01 21:09:50] [173/200] SUCCESS: 706016003
[2026-02-01 21:10:56] [174/200] SUCCESS: 706016004
[2026-02-01 21:11:14] [175/200] SUCCESS: 706016006
[2026-02-01 21:12:52] [176/200] SUCCESS: 706016015
[2026-02-01 21:13:51] [177/200] SUCCESS: 708021001
[2026-02-01 21:14:09] [178/200] SUCCESS: 711053003
[2026-02-01 21:15:48] [179/200] SUCCESS: 711053004
[2026-02-01 21:16:48] [180/200] SUCCESS: 711440001
[2026-02-01 21:17:05] [181/200] SUCCESS: 712216001
[2026-02-01 21:18:34] [182/200] SUCCESS: 712587002
[2026-02-01 21:19:37] [183/200] SUCCESS: 715624001
[2026-02-01 21:20:05] [184/200] SUCCESS: 717464001
[2026-02-01 21:22:31] [185/200] SUCCESS: 717490002
[2026-02-01 21:23:12] [186/200] SUCCESS: 717490003
[2026-02-01 21:25:38] [187/200] SUCCESS: 717490015
[2026-02-01 21:26:14] [188/200] SUCCESS: 719655001
[2026-02-01 21:29:18] [189/200] SUCCESS: 720504001
[2026-02-01 21:31:36] [190/200] SUCCESS: 717490001
[2026-02-01 21:31:44] [191/200] SUCCESS: 719957006
[2026-02-01 21:32:08] [192/200] SUCCESS: 723469001
[2026-02-01 21:34:29] [193/200] SUCCESS: 728162001
[2026-02-01 21:34:49] [194/200] SUCCESS: 728162002
[2026-02-01 21:35:03] [195/200] SUCCESS: 729928001
[2026-02-01 21:37:30] [196/200] INCOMPLETE: 732842002 - Results incomplete after benchmark
[2026-02-01 21:37:30] [197/200] INCOMPLETE: 732842001 - Results incomplete after benchmark
[2026-02-01 21:38:00] [198/200] SUCCESS: 739953002
[2026-02-01 21:40:23] [199/200] SUCCESS: 743098001
[2026-02-01 21:40:25] [200/200] SUCCESS: 743098002
[2026-02-01 21:40:26] 
================================================================================
[2026-02-01 21:40:26] BATCH RUN SUMMARY
[2026-02-01 21:40:26] ================================================================================
[2026-02-01 21:40:26] Total instances: 200
[2026-02-01 21:40:26] Completed successfully: 192
[2026-02-01 21:40:26] Completed with warnings: 0
[2026-02-01 21:40:26] Skipped (already done): 0
[2026-02-01 21:40:26] Failed: 8
[2026-02-01 21:40:26] 
Failed instances:
[2026-02-01 21:40:26]   - 658030001: Results incomplete after benchmark...
[2026-02-01 21:40:26]   - 658030006: Results incomplete after benchmark...
[2026-02-01 21:40:26]   - 658030020: Results incomplete after benchmark...
[2026-02-01 21:40:26]   - 658030011: Results incomplete after benchmark...
[2026-02-01 21:40:26]   - 687704001: Results incomplete after benchmark...
[2026-02-01 21:40:26]   - 687704002: Results incomplete after benchmark...
[2026-02-01 21:40:26]   - 732842002: Results incomplete after benchmark...
[2026-02-01 21:40:26]   - 732842001: Results incomplete after benchmark...
[2026-02-01 21:40:26] 
Master log saved to: D:\TextArena\examples\benchmark\real_trajectory\lead_time_0\batch_log_20260201_175616.txt
[2026-02-01 21:40:26] Summary saved to: D:\TextArena\examples\benchmark\real_trajectory\lead_time_0\batch_summary_20260201_175616.json
[2026-02-01 21:40:26] ================================================================================
